7,中国工商银行股份有限公司,91100000100003962T,https://www.qichacha.com/firm_4c6b399f74bda79c664aadfb380ff9a5.html
17,中国中信股份有限公司,,
21,京东商城电子商务有限公司,911103026605015136,
29,中国恒大集团,未公开,
36,中国神华能源股份有限公司,-,https://www.qichacha.com/firm_f4a67512893a5ef4ad470ed088f2467e.html
42,碧桂园控股有限公司,91440606338202486K,
43,腾讯控股有限公司,91440300708461136T,
45,中国海洋石油有限公司,,
49,阿里巴巴集团控股有限公司,未公开,
50,万洲国际有限公司,未公开,
51,中国太平保险控股有限公司,91310000132211707B,
53,华润医药集团有限公司,,
62,华能国际电力股份有限公司,91110000625905205U,https://www.qichacha.com/firm_93087d2f75a68ebe1eb26a30ac34ec86.html
75,华润置地有限公司,未公开,
84,中国航油（新加坡）股份有限公司,未公开,
85,国美电器控股有限公司,91110000726341576B,
86,中国粮油控股有限公司,-,
89,复星国际有限公司,-,
90,中升集团控股有限公司,-,
92,百度股份有限公司,91110108717743469K,
93,昆仑能源有限公司,未公开,
106,世茂房地产控股有限公司,-,
114,华润电力控股有限公司,-,
115,唯品会控股有限公司,914401015679254937,
119,龙湖地产有限公司,91500000202833449G,
121,中国蒙牛乳业有限公司,91150100701465425Y,
123,吉利汽车控股有限公司,-,
139,光汇石油（控股）有限公司,未公开,
150,雅居乐集团控股有限公司,,
157,百丽国际控股有限公司,,
168,大昌行集团有限公司,未公开,
172,中国大冶有色金属矿业有限公司,91420200178411464Y,
179,融创中国控股有限公司,,
183,远洋集团控股有限公司,未公开,
186,新奥能源控股有限公司,未公开,
195,中国重汽（香港）有限公司,-,
202,中国正通汽车服务控股有限公司,未公开,
219,绿城中国控股有限公司,,
222,华润啤酒（控股）有限公司,未公开,
223,新城发展控股有限公司,913204002508323014,
224,华润燃气控股有限公司,,
230,中国金茂控股集团有限公司,未公开,
241,中国东方集团控股有限公司,未公开,
248,仁恒置地集团有限公司,,
251,耐世特汽车系统集团有限公司,未公开,
258,中国食品有限公司,,
259,中国燃气控股有限公司,-,
271,旭辉控股（集团）有限公司,,
275,保利协鑫能源控股有限公司,,
277,华润水泥控股有限公司,未公开,
281,天能动力国际有限公司,,
283,超威动力控股有限公司,,
284,晶科能源控股有限公司,未公开,
291,越秀地产股份有限公司,未公开,
295,龙光地产控股有限公司,,
296,大明国际控股有限公司,,
306,携程国际有限公司,9131010563178864XK,
314,中芯国际集成电路制造有限公司,未公开,
317,恒安国际集团有限公司,未公开,
322,阿特斯太阳能有限公司,,
323,上海实业控股有限公司,未公开,
325,信利国际有限公司,未公开,
326,中国电力国际发展有限公司,未公开,
330,深圳控股有限公司,未公开,
335,中国润东汽车集团有限公司,,
338,佳兆业集团控股有限公司,未公开,
340,延长石油国际有限公司,,
347,中国联塑集团控股有限公司,,
357,中国忠旺控股有限公司,,
358,五菱汽车集团控股有限公司,未公开,
362,五矿资源有限公司,未公开,
368,时代地产控股有限公司,,
378,晶澳太阳能控股有限公司,,
379,理文造纸有限公司,,
393,申洲国际集团控股有限公司,,
394,扬子江船业（控股）有限公司,未公开,
397,景瑞控股有限公司,,
400,北控水务集团有限公司,未公开,
404,舜宇光学科技（集团）有限公司,913302817342468784,
410,宝龙地产控股有限公司,,
411,中国雨润食品集团有限公司,,
421,天津港发展控股有限公司,未公开,
424,远东宏信有限公司,-,
426,合生创展集团有限公司,,
434,禹洲地产股份有限公司,,
435,玉柴国际有限公司,未公开,
436,天虹纺织集团有限公司,,
442,中国生物制药有限公司,未公开,
446,中茵股份有限公司,,
447,安踏体育用品有限公司,91350500717357365T,
467,中骏置业控股有限公司,,
476,安徽山鹰纸业股份有限公司,,
485,中国奥园地产集团股份有限公司,91440101707660360J,
488,阜丰集团有限公司,91371327071341021C,
499,融信中国控股有限公司,未公开,
500,亨得利控股有限公司,,
